Address,City,Email,Name,Phone,State,Zip,MD_Prefix1,MD_FirstName1,MD_MiddleName1,MD_LastName1,MD_Suffix1,MD_Gender1,MD_Prefix2,MD_FirstName2,MD_MiddleName2,MD_LastName2,MD_Suffix2,MD_Gender2,MD_Salutation,MD_Address,MD_Address2,MD_Suite,MD_Urbanization,MD_City,MD_State,MD_Zip,MD_Plus4,MD_DPAndCheckDigit,MD_PrivateMailbox,MD_Country,MD_CMRA,MD_ElotNumber,MD_ElotOrder,MD_DeliveryIndication,MD_AddressType,MD_AddressTypeDesc,MD_ZipType,MD_CRRT,MD_CityAbbrev,MD_District,MD_AddrRange,MD_AddrPreDir,MD_AddrName,MD_AddrSuffix,MD_AddrPostDir,MD_AddrSuiteName,MD_AddrSuiteRange,MD_AddrPMBName,MD_AddrPMBRange,MD_AddrRouteService,MD_AddrLockBox,MD_AddrDeliveryInstallation,MD_AddrExtraInformation,MD_AddrCountyName,MD_AddrCountyFips,MD_AddrTimezone,MD_AddrTimezoneCode,MD_AddressKey,MD_GeoCounty,MD_GeoCountyFIPS,MD_PlaceCode,MD_PlaceName,MD_TimeZone,MD_TZCode,MD_Latitude,MD_Longitude,MD_CBSACode,MD_CBSALevel,MD_CBSATitle,MD_CBSADivisionCode,MD_CBSADivisionLevel,MD_CBSADivisionTitle,MD_CensusBlock,MD_CensusTract,MD_Phone,MD_PhoneCity,MD_PhoneState,MD_PhoneCountry,MD_PhoneTimeZone,MD_PhoneTZCode,MD_AreaCode,MD_PhonePrefix,MD_PhoneSuffix,MD_PhoneExtension,MD_PhoneCounty,MD_PhoneCountyFips,MD_EmailBox,MD_EmailTopLevel,MD_EmailTopLevelDesc,MD_EmailDomain,MD_EmailAddress,MD_Results
2017 Robanna Ct,Charlotte    ,mrtrouble23@yahoo.com                      , meagan andrews     ,7634348385  ,NC,28214          ,                    ,Meagan                             ,                    ,Andrews                            ,                    ,F,                    ,                                   ,                    ,                                   ,                    , ,Dear Ms. Andrews:                                 ,2017 Robanna Ct                                   ,                                                  ,                    ,               ,Charlotte                          ,NC             ,28214     ,2362,172,               ,US        , ,    , ,                    ,S,Street                        , ,R211,Charlotte    ,09,2017      ,     ,Robanna                                 ,Ct        ,     ,          ,          ,          ,          ,                    ,                    ,                    ,                              ,                         ,     ,                    ,  ,28214236217,Mecklenburg              ,37119,3712000,Charlotte                                                   ,Eastern Time        ,05,35.263172   ,-80.972277  ,16740,Metropolitan Statistical Area      ,"Charlotte-Concord-Gastonia, NC-SC                      ",     ,                                   ,                                                       ,1051,006005,(763) 434-8385                ,Minneapolis                 ,MN,US,Central Time        ,06,763,434,8385,              ,                         ,     ,mrtrouble23              ,com       ,Commercial                                        ,yahoo                                             ,mrtrouble23@yahoo.com                                                      ,"AS01,AS17,ES01,GS05,NS01,NS05,NS06,PS02,PS08                                                        "
839 Little Bay ,Norfolk      ,mrtroublemaker2@hotmail.com                , meagan bishop      ,7634348385  ,VA,23503          ,                    ,Meagan                             ,                    ,Bishop                             ,                    ,F,                    ,                                   ,                    ,                                   ,                    , ,Dear Ms. Bishop:                                  ,839 Little Bay Ave                                ,                                                  ,Apt I               ,               ,Norfolk                            ,VA             ,23503     ,1472,814,               ,US        , ,    , ,                    ,H,Highrise                      , ,C021,Norfolk      ,02,839       ,     ,Little Bay                              ,Ave       ,     ,Apt       ,I         ,          ,          ,                    ,                    ,                    ,                              ,                         ,     ,                    ,  ,23503147281,Norfolk City             ,51710,5157000,Norfolk                                                     ,Eastern Time        ,05,36.964829   ,-76.274850  ,47260,Metropolitan Statistical Area      ,"Virginia Beach-Norfolk-Newport News, VA-NC             ",     ,                                   ,                                                       ,1026,000400,(763) 434-8385                ,Minneapolis                 ,MN,US,Central Time        ,06,763,434,8385,              ,                         ,     ,mrtroublemaker2          ,com       ,Commercial                                        ,hotmail                                           ,mrtroublemaker2@hotmail.com                                                ,"AS01,ES01,GS06,NS01,NS05,NS06,PS02,PS08                                                             "
199 Regency Rd ,Mooresville  ,mrtroy36@idirect.com                       , Motofumi Inoue     ,7634349420  ,NC,28117          ,                    ,Motofumi                           ,                    ,Inoue                              ,                    ,N,                    ,                                   ,                    ,                                   ,                    , ,Dear Motofumi:                                    ,199 Regency Rd                                    ,                                                  ,                    ,               ,Mooresville                        ,NC             ,28117     ,9166,991,               ,US        , ,    , ,                    ,S,Street                        , ,R016,Mooresville  ,09,199       ,     ,Regency                                 ,Rd        ,     ,          ,          ,          ,          ,                    ,                    ,                    ,                              ,                         ,     ,                    ,  ,28117916699,Iredell                  ,37097,       ,                                                            ,Eastern Time        ,05,35.573949   ,-80.881570  ,16740,Metropolitan Statistical Area      ,"Charlotte-Concord-Gastonia, NC-SC                      ",     ,                                   ,                                                       ,1020,061405,(763) 434-9420                ,Minneapolis                 ,MN,US,Central Time        ,06,763,434,9420,              ,                         ,     ,mrtroy36                 ,com       ,Commercial                                        ,idirect                                           ,mrtroy36@idirect.com                                                       ,"AS01,ES01,GS05,NS01,NS05,NS06,PS02,PS08                                                             "
52 Leach St    ,Whiteville   ,mrtroytate@hotmail.com                     , shirley tremblay   ,7634349420  ,NC,28472          ,                    ,Shirley                            ,                    ,Tremblay                           ,                    ,F,                    ,                                   ,                    ,                                   ,                    , ,Dear Ms. Tremblay:                                ,52 Leach St                                       ,                                                  ,                    ,               ,Whiteville                         ,NC             ,28472     ,8618,527,               ,US        , ,    , ,                    ,S,Street                        , ,R008,Whiteville   ,07,52        ,     ,Leach                                   ,St        ,     ,          ,          ,          ,          ,                    ,                    ,                    ,                              ,                         ,     ,                    ,  ,28472861852,Columbus                 ,37047,3708420,Brunswick                                                   ,Eastern Time        ,05,34.294270   ,-78.705480  ,     ,                                   ,                                                       ,     ,                                   ,                                                       ,3017,931000,(763) 434-9420                ,Minneapolis                 ,MN,US,Central Time        ,06,763,434,9420,              ,                         ,     ,mrtroytate               ,com       ,Commercial                                        ,hotmail                                           ,mrtroytate@hotmail.com                                                     ,"AS01,ES01,GS05,NS01,NS05,NS06,PS02,PS08                                                             "
840 Robert E Le,Charleston   ,mrtrrmr@aol.com                            , Lisa Archambault   ,9525410558  ,SC,29412          ,                    ,Lisa                               ,                    ,Archambault                        ,                    ,F,                    ,                                   ,                    ,                                   ,                    , ,Dear Ms. Archambault:                             ,840 Robert E Lee Blvd                             ,                                                  ,                    ,               ,Charleston                         ,SC             ,29412     ,9180,400,               ,US        , ,    , ,                    ,S,Street                        , ,R001,Charleston   ,01,840       ,     ,Robert E Lee                            ,Blvd      ,     ,          ,          ,          ,          ,                    ,                    ,                    ,                              ,                         ,     ,                    ,  ,29412918040,Charleston               ,45019,4536430,James Island                                                ,Eastern Time        ,05,32.738990   ,-79.907200  ,16700,Metropolitan Statistical Area      ,"Charleston-North Charleston, SC                        ",     ,                                   ,                                                       ,1026,002005,(952) 541-0558                ,Minneapolis                 ,MN,US,Central Time        ,06,952,541,0558,              ,                         ,     ,mrtrrmr                  ,com       ,Commercial                                        ,aol                                               ,mrtrrmr@aol.com                                                            ,"AS01,ES01,GS05,NS01,NS05,NS06,PS02,PS08                                                             "
545 E Lenoir St,Raleigh      ,mrtrsharp@hawaii.edu                       , Lisa Archambault   ,9525410558  ,NC,27601          ,                    ,Lisa                               ,                    ,Archambault                        ,                    ,F,                    ,                                   ,                    ,                                   ,                    , ,Dear Ms. Archambault:                             ,545 E Lenoir St                                   ,                                                  ,                    ,               ,Raleigh                            ,NC             ,27601     ,2484,457,               ,US        , ,    , ,                    ,S,Street                        , ,C012,Raleigh      ,04,545       ,E    ,Lenoir                                  ,St        ,     ,          ,          ,          ,          ,                    ,                    ,                    ,                              ,                         ,     ,                    ,  ,27601248445,Wake                     ,37183,3755000,Raleigh                                                     ,Eastern Time        ,05,35.773060   ,-78.630260  ,39580,Metropolitan Statistical Area      ,"Raleigh, NC                                            ",     ,                                   ,                                                       ,1018,050700,(952) 541-0558                ,Minneapolis                 ,MN,US,Central Time        ,06,952,541,0558,              ,                         ,     ,mrtrsharp                ,edu       ,Educational Institution                           ,hawaii                                            ,mrtrsharp@hawaii.edu                                                       ,"AS01,ES01,GS05,NS01,NS05,NS06,PS02,PS08                                                             "
412 Morewood Av,Pittsburgh   ,mrtwiddle@aol.com                          , Sugardigital       ,7632637283  ,PA,15213          ,                    ,                                   ,                    ,Sugardigital                       ,                    ,U,                    ,                                   ,                    ,                                   ,                    , ,Dear Valued Customer:                             ,412 Morewood Ave                                  ,                                                  ,Apt 3               ,               ,Pittsburgh                         ,PA             ,15213     ,1814,121,               ,US        , ,    , ,                    ,S,Street                        , ,C012,Pittsburgh   ,14,412       ,     ,Morewood                                ,Ave       ,     ,Apt       ,3         ,          ,          ,                    ,                    ,                    ,                              ,                         ,     ,                    ,  ,15213181412,Allegheny                ,42003,4261000,Pittsburgh                                                  ,Eastern Time        ,05,40.452624   ,-79.943970  ,38300,Metropolitan Statistical Area      ,"Pittsburgh, PA                                         ",     ,                                   ,                                                       ,4003,070900,(763) 263-7283                ,Big Lake                    ,MN,US,Central Time        ,06,763,263,7283,              ,                         ,     ,mrtwiddle                ,com       ,Commercial                                        ,aol                                               ,mrtwiddle@aol.com                                                          ,"AS01,AS23,ES01,GS05,NS01,PS01,PS08,PS10                                                             "
1212 W End Ave ,Anderson     ,mrtwiddle@yahoo.com                        , michael silva      ,7632637283  ,SC,29625          ,                    ,Michael                            ,                    ,Silva                              ,                    ,M,                    ,                                   ,                    ,                                   ,                    , ,Dear Mr. Silva:                                   ,1212 W End Ave                                    ,                                                  ,                    ,               ,Anderson                           ,SC             ,29625     ,3659,120,               ,US        , ,    , ,                    ,S,Street                        , ,C036,Anderson     ,03,1212      ,W    ,End                                     ,Ave       ,     ,          ,          ,          ,          ,                    ,                    ,                    ,                              ,                         ,     ,                    ,  ,29625365912,Anderson                 ,45007,4501360,Anderson                                                    ,Eastern Time        ,05,34.513230   ,-82.661660  ,24860,Metropolitan Statistical Area      ,"Greenville-Anderson-Mauldin, SC                        ",     ,                                   ,                                                       ,3027,000900,(763) 263-7283                ,Big Lake                    ,MN,US,Central Time        ,06,763,263,7283,              ,                         ,     ,mrtwiddle                ,com       ,Commercial                                        ,yahoo                                             ,mrtwiddle@yahoo.com                                                        ,"AS01,ES01,GS05,NS01,NS05,NS06,PS01,PS08,PS10                                                        "
1273 Robert Ree,Alcolu       ,mrtwinklenutz@cox.net                      , mike               ,9523689695  ,SC,29001          ,                    ,                                   ,                    ,Mike                               ,                    ,U,                    ,                                   ,                    ,                                   ,                    , ,Dear Valued Customer:                             ,1273 Robert Rees Durant Rd                        ,                                                  ,                    ,               ,Alcolu                             ,SC             ,29001     ,8626,736,               ,US        , ,    , ,                    ,S,Street                        , ,R081,Alcolu       ,06,1273      ,     ,Robert Rees Durant                      ,Rd        ,     ,          ,          ,          ,          ,                    ,                    ,                    ,                              ,                         ,     ,                    ,  ,29001862673,Clarendon                ,45027,       ,                                                            ,Eastern Time        ,05,33.771980   ,-80.149780  ,     ,                                   ,                                                       ,     ,                                   ,                                                       ,2069,960300,(952) 368-9695                ,Chaska                      ,MN,US,Central Time        ,06,952,368,9695,              ,                         ,     ,mrtwinklenutz            ,net       ,Network                                           ,cox                                               ,mrtwinklenutz@cox.net                                                      ,"AS01,ES01,GS05,NS01,NS06,PS01,PS08,PS10                                                             "
1304 So Benbow ,Greenssboro  ,mrtwinky35@worldnet.att.net                , mirianne myrtil    ,9523689695  ,NC,27406          ,                    ,Mirianne                           ,                    ,Myrtil                             ,                    ,F,                    ,                                   ,                    ,                                   ,                    , ,Dear Ms. Myrtil:                                  ,1304 S Benbow Rd                                  ,                                                  ,                    ,               ,Greensboro                         ,NC             ,27406     ,2118,045,               ,US        , ,    , ,                    ,S,Street                        , ,C008,Greensboro   ,12,1304      ,S    ,Benbow                                  ,Rd        ,     ,          ,          ,          ,          ,                    ,                    ,                    ,                              ,                         ,     ,                    ,  ,27406211804,Guilford                 ,37081,3728000,Greensboro                                                  ,Eastern Time        ,05,36.058314   ,-79.772055  ,24660,Metropolitan Statistical Area      ,"Greensboro-High Point, NC                              ",     ,                                   ,                                                       ,3016,011200,(952) 368-9695                ,Chaska                      ,MN,US,Central Time        ,06,952,368,9695,              ,                         ,     ,mrtwinky35               ,net       ,Network                                           ,worldnet.att                                      ,mrtwinky35@worldnet.att.net                                                ,"AC03,AS01,ES01,GS05,NS01,NS05,PS01,PS08,PS10                                                        "
